Exchanges:  {'EX_cpd00067_e0_o': 21.753473, 'EX_cpd00007_e0_o': 111.932184, 'EX_cpd00048_e0_i': 0.351318, 'EX_cpd00001_e0_i': 95.59228, 'EX_cpd00013_e0_i': 15.547783, 'EX_cpd11632_e0_i': 909.497991, 'EX_cpd00011_e0_i': 109.265404, 'EX_cpd00009_e0_i': 5.520706, 'EX_cpd00099_e0_i': 0.0}
[Init] V0_init=-2: unscored reactions left at 0 (no mean/2 imputation)

[Init] Injecting 9 exchange flux ceilings into V0...
-> Successfully replaced 9 matrix columns.

[Init] media chain: set 39 columns from media_chain_init.tsv
-> [Init] Successfully forced 'bio1' initialization to 0.0
[EarlyStop] patience_limit=500  min_delta=0.001
QP-Loss 276000 0.10453105 0.062345546
QP-Loss 277000 0.103850536 0.06188967
QP-Loss 278000 0.10317532 0.061436202
QP-Loss 279000 0.102505066 0.060984995
QP-Loss 280000 0.101840116 0.060537003
QP-Loss 281000 0.10117981 0.060091697
QP-Loss 282000 0.100526005 0.059649825
QP-Loss 283000 0.09987804 0.05921108
QP-Loss 284000 0.09923645 0.05877725
QP-Loss 285000 0.098600596 0.05834568
QP-Loss 286000 0.09797019 0.05791709
QP-Loss 287000 0.097345114 0.057491798
QP-Loss 288000 0.09672556 0.057070147
QP-Loss 289000 0.09611151 0.05665369
QP-Loss 290000 0.09550255 0.056240257
QP-Loss 291000 0.09489849 0.055829212
QP-Loss 292000 0.094299436 0.055420175
QP-Loss 293000 0.093705006 0.055013426
QP-Loss 294000 0.09311459 0.054608855
QP-Loss 295000 0.09252892 0.05420644
QP-Loss 296000 0.09194831 0.053807676
QP-Loss 297000 0.09137217 0.0534117
QP-Loss 298000 0.09080082 0.05301851
QP-Loss 299000 0.090233915 0.052627012
QP-Loss 300000 0.08967159 0.052238367
QP-Loss 301000 0.08911321 0.051852297
QP-Loss 302000 0.088559784 0.051469296
QP-Loss 303000 0.088012956 0.051090494
QP-Loss 304000 0.08747793 0.05071861
QP-Loss 305000 0.08694815 0.050350465
QP-Loss 306000 0.086422525 0.049984735
QP-Loss 307000 0.085902214 0.04962358
QP-Loss 308000 0.08539287 0.049277604
QP-Loss 309000 0.08488784 0.048934188
QP-Loss 310000 0.0843865 0.04859265
QP-Loss 311000 0.08388889 0.048253063
QP-Loss 312000 0.08339462 0.047915027
QP-Loss 313000 0.082904756 0.047580514
QP-Loss 314000 0.08241887 0.04724883
QP-Loss 315000 0.081936985 0.046919614
QP-Loss 316000 0.0814586 0.046592254
QP-Loss 317000 0.080983885 0.046267625
QP-Loss 318000 0.080513485 0.045946024
QP-Loss 319000 0.08004781 0.045629095
QP-Loss 320000 0.07958596 0.045314424
QP-Loss 321000 0.07912748 0.045001302
QP-Loss 322000 0.07867188 0.044690356
QP-Loss 323000 0.07822057 0.044383135
QP-Loss 324000 0.077772416 0.044077374
QP-Loss 325000 0.077328086 0.04377371
