Sample ID	Tissue	Treatment	Timepoint	Species	B11	Na23	Mg26	Al27	P31	S34	K39	Ca44	Fe54	Mn55	Co59	Ni60	Cu63	Zn66	As75	Se78	Rb85	Sr88	Mo98	Cd111		NDVI800	NDVI850	reNDVI	PRI1	PRI2	PRI3	WBI	NDWI1	NDWI2	SR1	SR2	SR3	SR4	SR5	DWSI	SIPI	ARI1	ARI2	CRI1	CRI2	WCRI	CCI	CCI2	NIRv	R2131	R710	VIS_mean	NIR_mean	SWIR1_mean	SWIR2_mean	Chl	Car
E1.0_P17_4D_Ctrl_L	Leaf	Control	4 d	Populus trichocarpa	24.21027158	4.551058007	1491.455173	1.394443164	3193.294097	25714.4564	20255.32361	2262.992295	21.30091217	110.2797961	0.002736916	0.096970693	1.986869661	24.36425763	0.002031613	0.005676802	0.352262923	1.642526695	21.81229209	0.005976809		0.770500633	0.823829211	0.300158657	0.023840684	0.0334163	0.041822394	0.971768992	0.033330708	0.033389499	1.421423575	2.300961993	7.734833649	11.73199675	1.882645482	0.87384718	0.847330751	-0.002696042	-0.154031346	0.088816247	0.086120205	0.225084707	0.355505843	0.429780585	44.02054411	25.0272818	30.37688674	8.827485672	56.71923403	34.40545446	18.99285808	272.2495732	22.83658074
E1.0_P13_4D_Ctrl_L	Leaf	Control	4 d	Populus trichocarpa	28.84349379	5.834091902	1489.723803	1.981717872	3241.591256	24394.27016	19825.80162	2476.200647	24.11252163	107.7978146	0.003025207	0.131761779	2.385650727	25.75150574	0.000920147	0.001726651	0.356584448	2.030640902	20.71959085	0.005987378		0.760030857	0.806235541	0.308482379	0.021970384	0.031380722	0.039535586	0.971492714	0.033802009	0.033821296	1.424233656	2.342331535	6.897344471	10.31930209	1.918998103	0.871024564	0.830767128	-0.002333117	-0.135169863	0.079628362	0.077295246	0.221294794	0.326857182	0.434618218	44.03263326	25.37665055	30.16755601	9.236556279	57.44799422	34.9328884	19.44545054	277.4085486	23.69970957
E1.0_P6_4D_FeEX_L	Leaf	FeEX	4 d	Populus trichocarpa	29.24684421	7.193541139	1244.573518	1.630558872	2640.960002	23325.65413	21081.18823	2215.094544	49.25942673	97.12362847	0.002564514	0.178961312	1.770751756	22.95924673	0.002255966	0.004259648	0.245235808	1.710860847	23.57326456	0.007618749		0.723537465	0.793087798	0.261948294	0.002985145	0.012126957	0.019984571	0.974699434	0.02931463	0.029290879	1.375890343	2.141770837	7.237077685	10.37718134	1.733010016	0.798633892	0.831164943	-0.000446131	-0.02574148	0.07094902	0.070502889	0.176860153	0.309845856	0.384367633	41.74766819	26.78776334	33.29384329	10.41613818	57.32841512	36.19419644	20.6702857	256.1757333	18.71653356
E1.0_P10_4D_FeEX_L	Leaf	FeEX	4 d	Populus trichocarpa	23.94802043	4.622388088	1428.770497	2.863186839	3378.173174	27046.60598	17871.88116	2082.271874	33.41689942	93.03457456	0.002094485	0.187958603	1.239796569	23.22052845	0.001492814	0.011649877	0.396149015	1.605167917	18.37946648	0.005327282		0.798453951	0.831046545	0.354708906	0.024849762	0.034602943	0.043288654	0.970398738	0.033602378	0.033615469	1.423728515	2.807106372	7.667655662	11.50416434	2.149751004	0.944331944	0.845411057	-0.003586758	-0.197056093	0.100989242	0.097402484	0.313950227	0.329898127	0.490038151	43.86697038	24.18578322	25.61192314	7.339487107	54.56779859	32.99929826	18.32893883	283.9066729	27.30933299
E1.0_P31_4D_FeEX_L	Leaf	FeEX	4 d	Populus trichocarpa	29.14053292	12.40460027	1436.855877	3.622929689	3154.168578	24811.62479	23298.86259	2242.542514	49.37670251	116.2130613	0.003239416	0.114667675	2.327897126	25.34410713	0.002406012	0.004832402	0.333635215	1.836171813	25.16663152	0.007237817		0.741468201	0.797996272	0.287852752	0.016188926	0.024783194	0.032375784	0.973731349	0.030821438	0.030799695	1.395303089	2.262104675	6.93776237	10.14081993	1.833262115	0.833148028	0.823082389	-0.001452925	-0.086853758	0.065411895	0.06395897	0.194973923	0.317660406	0.411981538	44.32389794	26.72752494	32.62010187	10.28513324	59.42488437	36.61674308	20.54737323	277.3702339	22.28992319
E1.0_P22_4D_FeLim_L	Leaf	FeLim	4 d	Populus trichocarpa	24.56490982	5.78610465	1210.715987	2.387837253	3003.407646	21122.33011	21177.37097	1753.824094	11.63593885	88.32513683	0.003715298	0.085245021	2.657728059	24.74160405	0.001650298	0.001447927	0.37677332	1.335043141	18.107659	0.005113946		0.682150676	0.776599111	0.209033748	-0.012159629	-0.004261509	0.002173975	0.965662745	0.041316552	0.04143721	1.498137478	1.811478453	6.417614657	10.14652627	1.532515654	0.818554167	0.82988375	0.005003915	0.271637911	0.067393058	0.072396973	0.137915098	0.273653738	0.314693121	37.03060334	21.82393017	35.36407926	10.90030942	53.66211575	30.80078391	16.5415281	217.1361056	12.52157295
E1.0_P7_4D_FeLim_L	Leaf	FeLim	4 d	Populus trichocarpa	28.22954176	4.073193435	1549.759293	1.643905148	3343.389677	24847.28073	19794.1566	2426.032691	13.40038907	127.4865208	0.008299051	0.096090506	3.090805352	27.84461613	0.001486128	-0.000571192	0.404077902	1.890873966	20.3734689	0.006498875		0.71091169	0.782461251	0.247583549	0.015182069	0.023445631	0.030830348	0.973526554	0.030984657	0.031043571	1.412722005	1.952684344	6.415844888	9.578176678	1.665643733	0.779162923	0.817928273	-0.000396119	-0.02114152	0.070224946	0.069828827	0.171710677	0.32021726	0.359849431	37.94250796	23.81440384	31.97797494	10.26313854	52.9502618	32.56544171	18.32805197	228.0706659	15.44331419
E1.0_P30_4D_FeLim_L	Leaf	FeLim	4 d	Populus trichocarpa	26.65995267	3.614798095	1409.661656	1.97612245	3118.98781	23710.63822	19850.23088	1931.288996	8.691066171	97.06495037	0.003132485	0.089061426	3.247131497	22.27827421	0.00225396	0.000338042	0.447065724	1.518682467	18.18569667	0.006185808		0.739131175	0.815409145	0.248365209	0.012892165	0.022199572	0.030362907	0.971857679	0.03368656	0.033744727	1.441543533	2.014242994	7.750890587	11.89449143	1.675857502	0.837081055	0.85229725	0.00083755	0.046798994	0.084914458	0.085752008	0.17400758	0.346142102	0.370120999	41.29975117	24.05592017	33.29764589	9.626152058	55.4074597	33.16305838	18.17031732	244.6666047	17.17277297
E1.0_P4_4D_ZnEx_L	Leaf	ZnEx	4 d	Populus trichocarpa	31.19252371	5.086641374	1365.798592	2.013262495	2815.205838	26073.46545	14878.90427	1845.579744	12.33398763	92.31966455	0.002974586	0.185516763	1.450186012	334.7704688	0.001743998	0.004195603	0.279522689	1.281866211	21.72921944	0.005813766		0.754012812	0.803611512	0.302453646	0.013286037	0.022132501	0.029497662	0.973351913	0.032729087	0.032744191	1.427737544	2.365301969	6.838039973	10.23039049	1.898028497	0.876743003	0.82819024	-0.000112214	-0.006489131	0.077636907	0.077524693	0.211535443	0.30898556	0.429177724	43.60315068	25.10925844	30.46757599	9.310029875	57.43101934	34.833109	19.33384943	275.8004465	23.25315424
E1.0_P15_4D_ZnEx_L	Leaf	ZnEx	4 d	Populus trichocarpa	26.51855812	6.35602415	1433.293211	2.795217692	2974.498759	24248.55413	18977.04079	1911.635475	13.63667878	96.6260926	0.003015262	0.107854759	1.690830794	250.1462474	0.002246451	0.003415089	0.491560467	1.646022591	21.0248826	0.00616103		0.75648893	0.817559174	0.286508903	0.017704311	0.026865598	0.03454816	0.971670687	0.035518201	0.035544088	1.444117825	2.207178622	7.528818908	11.58653244	1.821965216	0.874850501	0.846985759	-0.000751339	-0.043675835	0.081268292	0.080516953	0.199722813	0.3404667	0.413095022	43.97522064	25.09591193	31.86137575	9.370103973	57.59587045	34.4507335	18.98848537	270.02222	21.80161211
E1.0_P20_4D_ZnEx_L	Leaf	ZnEx	4 d	Populus trichocarpa	32.63315294	6.157084707	1623.266469	2.733084626	3393.967774	29832.44432	21586.83291	1952.85459	16.69255902	107.6983423	0.003614804	0.110830689	2.505504524	338.1769139	0.002629115	0.012044732	0.435945913	1.426155016	23.02737191	0.007252638		0.746750377	0.807416559	0.280985823	0.009404565	0.018247511	0.02598478	0.971749106	0.034604327	0.034623628	1.439544585	2.194163751	7.266445831	10.9116952	1.805646213	0.864780042	0.838741094	-0.000581553	-0.034164311	0.077021299	0.076439745	0.194520406	0.322383266	0.407218558	43.86908105	25.53857286	32.50703621	9.766017844	58.26356323	35.04940888	19.43127597	270.6939635	21.50286773
E1.0_P9_4D_ZnLim_L	Leaf	ZnLim	4 d	Populus trichocarpa	28.96101721	7.721949198	1527.076943	2.133500176	3219.175897	23429.37057	22696.78714	2213.523179	29.27054441	105.5514871	0.005810304	0.188226617	2.330362599	19.55156437	0.002452561	0.00159965	0.374396289	1.786288393	21.36671222	0.013707274		0.805740558	0.843430709	0.349362006	0.038314143	0.048323016	0.056823756	0.971987836	0.032318135	0.03234721	1.423703155	2.718147444	8.310304834	12.66432802	2.110955478	0.942403705	0.856691117	-0.00439152	-0.242732634	0.102750708	0.098359188	0.304441387	0.366513107	0.485259672	44.53572241	24.14966431	26.17964159	7.289287191	54.89562744	33.01038645	18.13635752	283.7566827	26.93984583
E1.0_P18_4D_ZnLim_L	Leaf	ZnLim	4 d	Populus trichocarpa	28.88003562	4.909915707	1354.710025	2.241506666	2506.25414	20849.82329	19862.61478	1921.087782	27.89343538	97.398446	0.004933717	0.061182557	2.119584062	16.68960579	0.003008983	0.00817993	0.408900459	1.461432717	18.56307178	0.010016006		0.774342123	0.820415209	0.321780136	0.030210097	0.039812849	0.048301647	0.973453388	0.030524125	0.030512937	1.394199542	2.430980386	7.698131376	11.25945756	1.982449199	0.869848156	0.84047572	-0.005486552	-0.312023806	0.084946164	0.079459612	0.251600306	0.352088596	0.453345351	44.03734397	26.16446485	28.69481909	8.665570071	56.53003911	35.04182133	20.01424126	278.3199285	24.51962633
