species	base	subsystem	raw_c	raw_f	rel_c	rel_f
Sorghum	rxn01018	Pyrimidine_de_novo_biosynthesis	6.4746	7.7103	0.0	0.0
Sorghum	rxn01019	Arginine_metabolism_and_urea_cycle	51.0533	62.5032	0.0001	0.0001
Sorghum	rxn01069	Lysine_and_threonine_metabolism	101.0175	132.2979	0.0001	0.0002
Sorghum	rxn01100	Calvin-Benson-Bassham_cycle	3191.7257	3430.3148	0.0034	0.0047
Sorghum	rxn01101	Alanine,_serine,_glycine_metabolism	114.4109	80.8707	0.0001	0.0001
Sorghum	rxn01102	Photorespiration_(oxidative_C2_cycle)	175.2574	232.0667	0.0002	0.0003
Sorghum	rxn01106	Glycolysis_and_Gluconeogenesis	9.5216	7.0611	0.0	0.0
Sorghum	rxn01111	Calvin-Benson-Bassham_cycle	4134.7042	4136.7107	0.0045	0.0057
Sorghum	rxn01115	Pentose_phosphate_pathway	41.2026	47.1032	0.0001	0.0001
Sorghum	rxn01116	Calvin-Benson-Bassham_cycle	2670.0228	2053.1654	0.003	0.0026
Sorghum	rxn01200	Calvin-Benson-Bassham_cycle	650.4393	807.5794	0.0007	0.0011
Sorghum	rxn01211	Folate-mediated_one-carbon_metabolism	4.3169	5.882	0.0	0.0
Sorghum	rxn01213	Geranylgeranyldiphosphate_biosynthesis	5.6793	5.193	0.0	0.0
Sorghum	rxn01249	Pyridoxine_(vitamin_B6)_biosynthesis	91.04	85.3496	0.0001	0.0001
Sorghum	rxn01255	Chorismate_biosynthesis	36.6094	39.4662	0.0	0.0001
Sorghum	rxn01256	Tyrosine_and_phenylalanine_metabolism	87.9904	78.803	0.0001	0.0001
Sorghum	rxn01257	Folate_biosynthesis	35.0211	38.7566	0.0	0.0001
Sorghum	rxn01258	Phylloquinone_biosynthesis	120.2414	79.8411	0.0001	0.0001
Sorghum	rxn01300	Lysine_and_threonine_metabolism	5.189	7.0802	0.0	0.0
Sorghum	rxn01301	Lysine_and_threonine_metabolism	20.3128	29.2647	0.0	0.0
Sorghum	rxn01302	Lysine_and_threonine_metabolism	20.3128	29.2647	0.0	0.0
Sorghum	rxn01332	Chorismate_biosynthesis	218.9955	274.7906	0.0002	0.0004
Sorghum	rxn01334	Calvin-Benson-Bassham_cycle	10861.3957	9104.6667	0.0121	0.0122
Sorghum	rxn01345	Calvin-Benson-Bassham_cycle	1823.9592	1660.0249	0.0019	0.0022
Sorghum	rxn01353	Purine_de_novo_biosynthesis	4.2057	4.3428	0.0	0.0
Sorghum	rxn01362	Pyrimidine_de_novo_biosynthesis	8.4147	13.7596	0.0	0.0
Sorghum	rxn01396	Pyridoxine_(vitamin_B6)_biosynthesis	4.6076	4.6447	0.0	0.0
Sorghum	rxn01434	Arginine_metabolism_and_urea_cycle	10.8274	15.104	0.0	0.0
Sorghum	rxn01465	Pyrimidine_de_novo_biosynthesis	2.1716	3.1736	0.0	0.0
Sorghum	rxn01476	Pentose_phosphate_pathway	386.888	400.5366	0.0004	0.0006
Sorghum	rxn01486	Geranylgeranyldiphosphate_biosynthesis	154.9181	181.4117	0.0002	0.0003
Sorghum	rxn01512	Purine_de_novo_biosynthesis	4.2057	4.3428	0.0	0.0
Sorghum	rxn01575	Branched-chain_amino_acid_metabolism	63.6058	52.5131	0.0001	0.0001
Sorghum	rxn01629	Core_tetrapyrrole_biosynthesis	303.9711	250.8292	0.0003	0.0004
Sorghum	rxn01636	Arginine_metabolism_and_urea_cycle	13.6717	15.8649	0.0	0.0
Sorghum	rxn01637	Arginine_metabolism_and_urea_cycle	36.4279	35.6525	0.0	0.0001
Sorghum	rxn01643	Lysine_and_threonine_metabolism	5.1561	3.8718	0.0	0.0
Sorghum	rxn01644	Lysine_and_threonine_metabolism	45.9598	49.128	0.0001	0.0001
Sorghum	rxn01652	Alanine,_serine,_glycine_metabolism	207.5613	263.0318	0.0002	0.0004
Sorghum	rxn01673	Purine_de_novo_biosynthesis	4.2057	4.3428	0.0	0.0
Sorghum	rxn01678	Purine_de_novo_biosynthesis	4.2057	4.3428	0.0	0.0
Sorghum	rxn01682	Tryptophan_metabolism	15.3016	20.3766	0.0	0.0
Sorghum	rxn01739	Chorismate_biosynthesis	144.386	148.8244	0.0002	0.0002
Sorghum	rxn01740	Chorismate_biosynthesis	26.1624	29.4114	0.0	0.0
Sorghum	rxn01807	Pyridoxine_(vitamin_B6)_biosynthesis	4.6076	4.6447	0.0	0.0
Sorghum	rxn01827	Plastoquinone_biosynthesis	106.8471	215.6677	0.0001	0.0004
Sorghum	rxn01917	Arginine_metabolism_and_urea_cycle	20.8994	23.1587	0.0	0.0
Sorghum	rxn01974	Lysine_and_threonine_metabolism	52.2324	50.4287	0.0001	0.0001
Sorghum	rxn01975	Pentose_phosphate_pathway	154.8545	211.3554	0.0002	0.0003
Sorghum	rxn02056	Heme_and_Siroheme_biosynthesis	33.5055	33.4531	0.0	0.0001
Sorghum	rxn02159	Histidine_Biosynthesis	14.6185	15.1854	0.0	0.0
Sorghum	rxn02160	Histidine_Biosynthesis	3.7343	221.2146	0.0	0.0004
Sorghum	rxn02212	Chorismate_biosynthesis	164.5902	176.2602	0.0002	0.0003
Sorghum	rxn02213	Chorismate_biosynthesis	26.1624	29.4114	0.0	0.0
Sorghum	rxn02251	Calvin-Benson-Bassham_cycle	6913.7991	7567.2379	0.0074	0.0099
Sorghum	rxn02264	Core_tetrapyrrole_biosynthesis	8.8973	12.178	0.0	0.0
Sorghum	rxn02288	Chlorophyll_Biosynthesis	573.8999	414.414	0.0006	0.0006
Sorghum	rxn02303	Chlorophyll_Biosynthesis	318.6813	270.4547	0.0003	0.0004
Sorghum	rxn02304	Chlorophyll_Biosynthesis	248.54	183.845	0.0003	0.0003
Sorghum	rxn02305	Thiamin_biosynthesis	13.0324	13.5311	0.0	0.0
Sorghum	rxn02320	Histidine_Biosynthesis	26.7431	24.0842	0.0	0.0
Sorghum	rxn02380	GDP-sugars_biosynthesis_and_interconversions	196.656	159.502	0.0002	0.0002
Sorghum	rxn02402	Niacin,_NAD_and_NADP_biosynthesis	72.4213	71.7552	0.0001	0.0001
Sorghum	rxn02473	Histidine_Biosynthesis	31.3311	30.4179	0.0	0.0
Sorghum	rxn02474	Riboflavin,_FMN_and_FAD_biosynthesis	21.3857	23.7453	0.0	0.0
Sorghum	rxn02475	Riboflavin,_FMN_and_FAD_biosynthesis	21.3857	23.7453	0.0	0.0
Sorghum	rxn02476	Chorismate_biosynthesis	44.5569	48.8687	0.0001	0.0001
Sorghum	rxn02484	Thiamin_biosynthesis	13.0324	13.5311	0.0	0.0
Sorghum	rxn02507	Tryptophan_metabolism	43.4054	73.5074	0.0001	0.0001
Sorghum	rxn02508	Tryptophan_metabolism	8.4317	11.1599	0.0	0.0
Sorghum	rxn02733	Chlorophyll_Biosynthesis	453.3726	373.9626	0.0005	0.0005
Sorghum	rxn02789	Branched-chain_amino_acid_metabolism	38.6784	27.672	0.0	0.0
Sorghum	rxn02811	Branched-chain_amino_acid_metabolism	38.6784	27.672	0.0	0.0
Sorghum	rxn02834	Histidine_Biosynthesis	8.0876	8.5515	0.0	0.0
Sorghum	rxn02835	Histidine_Biosynthesis	8.0876	8.5515	0.0	0.0
Sorghum	rxn02895	Purine_de_novo_biosynthesis	18.5005	18.5912	0.0	0.0
Sorghum	rxn02914	Alanine,_serine,_glycine_metabolism	37.053	37.4795	0.0	0.0001
Sorghum	rxn02928	Lysine_and_threonine_metabolism	26.746	38.8491	0.0	0.0001
Sorghum	rxn02929	Lysine_and_threonine_metabolism	26.746	38.8491	0.0	0.0001
Sorghum	rxn02937	Purine_de_novo_biosynthesis	52.2604	56.6463	0.0001	0.0001
Sorghum	rxn02938	Purine_de_novo_biosynthesis	28.7883	49.1628	0.0	0.0001
Sorghum	rxn02959	Chlorophyll_Biosynthesis	679.7403	539.2675	0.0007	0.0007
Sorghum	rxn02988	Niacin,_NAD_and_NADP_biosynthesis	78.6002	84.4618	0.0001	0.0001
Sorghum	rxn03004	Purine_de_novo_biosynthesis	8.8227	9.3538	0.0	0.0
Sorghum	rxn03062	Branched-chain_amino_acid_metabolism	77.0658	98.4234	0.0001	0.0002
Sorghum	rxn03080	Riboflavin,_FMN_and_FAD_biosynthesis	43.2069	46.2178	0.0	0.0001
Sorghum	rxn03084	Purine_de_novo_biosynthesis	73.6807	92.6071	0.0001	0.0001
Sorghum	rxn03108	Thiamin_biosynthesis	26.0648	27.0622	0.0	0.0
Sorghum	rxn03135	Histidine_Biosynthesis	4.3265	5.8508	0.0	0.0
Sorghum	rxn03136	Purine_de_novo_biosynthesis	7.3878	9.9243	0.0	0.0
Sorghum	rxn03137	Purine_de_novo_biosynthesis	15.1924	17.2327	0.0	0.0
Sorghum	rxn03147	Purine_de_novo_biosynthesis	27.2794	27.9574	0.0	0.0
Sorghum	rxn03175	Histidine_Biosynthesis	10.6759	11.7226	0.0	0.0
Sorghum	rxn03437	Branched-chain_amino_acid_metabolism	2.8389	3.4848	0.0	0.0
Sorghum	rxn03841	Folate_biosynthesis	2.6888	3.4127	0.0	0.0
Sorghum	rxn03891	Plastoquinone_biosynthesis	113.385	119.8669	0.0001	0.0002
Sorghum	rxn03892	Plastoquinone_biosynthesis	113.385	119.8669	0.0001	0.0002
Sorghum	rxn03907	Isoprenoid_biosynthesis,_nonmevalonate_branch	7.2492	8.0327	0.0	0.0
Sorghum	rxn03908	Isoprenoid_biosynthesis,_nonmevalonate_branch	54.5015	84.2341	0.0001	0.0001
Sorghum	rxn03909	Isoprenoid_biosynthesis,_nonmevalonate_branch	830.0419	470.9461	0.0008	0.0006
Sorghum	rxn03910	Isoprenoid_biosynthesis,_nonmevalonate_branch	41.9577	36.8891	0.0	0.0001
Sorghum	rxn03958	Isoprenoid_biosynthesis,_nonmevalonate_branch	301.614	248.678	0.0003	0.0003
Sorghum	rxn03983	Sulfur_metabolism	1720.1555	495.5264	0.0019	0.0006
Sorghum	rxn04113	Isoprenoid_biosynthesis,_nonmevalonate_branch	28.4998	29.6438	0.0	0.0
Sorghum	rxn04152	Chlorophyll_Biosynthesis	2075.2441	1382.5235	0.0022	0.0017
Sorghum	rxn04153	Chlorophyll_Biosynthesis	2075.2441	1382.5235	0.0022	0.0017
Sorghum	rxn04154	Chlorophyll_Biosynthesis	2075.2441	1382.5235	0.0022	0.0017
Sorghum	rxn04161	Chlorophyll_Biosynthesis	55.9461	81.5952	0.0001	0.0001
Sorghum	rxn04674	Phylloquinone_biosynthesis	6.4187	8.2003	0.0	0.0
Sorghum	rxn04954	Folate-mediated_one-carbon_metabolism	77.1181	77.5688	0.0001	0.0001
Sorghum	rxn04996	Isoprenoid_biosynthesis,_nonmevalonate_branch	28.4998	29.6438	0.0	0.0
Sorghum	rxn05024	Phylloquinone_biosynthesis	38.7903	58.5132	0.0	0.0001
Sorghum	rxn05028	Plastoquinone_biosynthesis	113.385	119.8669	0.0001	0.0002
Sorghum	rxn05036	Tyrosine_and_phenylalanine_metabolism	3.6072	3.4827	0.0	0.0
Sorghum	rxn05040	Riboflavin,_FMN_and_FAD_biosynthesis	196.0731	204.3669	0.0002	0.0003
Sorghum	rxn05104	Methionine_and_cysteine_metabolism	137.3867	158.457	0.0002	0.0002
